@timestamp,@message
2025-12-26 08:46:25.426,"{""ts"": ""2025-12-26T08:46:25.308241+00:00"", ""level"": ""WARNING"", ""service"": ""dora-bot"", ""env"": ""prod"", ""bot_version"": ""unknown"", ""bot_run_id"": ""20251226-010945-5de626"", ""message"": ""Batch cancel - order failed"", ""event_type"": ""BATCH_CANCEL_FAILED"", ""decision_id"": ""20251226-010945-5de626:BATCH_CANCEL:741"", ""order_id"": ""f794d5ad-4aec-4add-83d0-2b55a00b4226"", ""error_msg"": ""not found"", ""error_code"": ""not_found"", ""logger"": ""dora_bot.exchange_client""}"
2025-12-26 08:46:25.426,"{""ts"": ""2025-12-26T08:46:25.308279+00:00"", ""level"": ""WARNING"", ""service"": ""dora-bot"", ""env"": ""prod"", ""bot_version"": ""unknown"", ""bot_run_id"": ""20251226-010945-5de626"", ""message"": ""Batch cancel - order failed"", ""event_type"": ""BATCH_CANCEL_FAILED"", ""decision_id"": ""20251226-010945-5de626:BATCH_CANCEL:741"", ""order_id"": ""fa56094a-9d5e-4542-8e96-8c5f972ff636"", ""error_msg"": ""not found"", ""error_code"": ""not_found"", ""logger"": ""dora_bot.exchange_client""}"
2025-12-26 08:46:25.426,"{""ts"": ""2025-12-26T08:46:25.308368+00:00"", ""level"": ""WARNING"", ""service"": ""dora-bot"", ""env"": ""prod"", ""bot_version"": ""unknown"", ""bot_run_id"": ""20251226-010945-5de626"", ""message"": ""Cancel failed"", ""event_type"": ""BATCH_CANCEL_FAILED"", ""decision_id"": ""20251226-010945-5de626:BATCH_CANCEL:741"", ""market"": ""KXIPO-26-DATABRICKS"", ""order_id"": ""4973437a-bf40-4251-bc1d-a90fa46e8105"", ""error_msg"": ""not found"", ""batch_number"": 1, ""logger"": ""__main__""}"
2025-12-26 08:46:25.426,"{""ts"": ""2025-12-26T08:46:25.308404+00:00"", ""level"": ""WARNING"", ""service"": ""dora-bot"", ""env"": ""prod"", ""bot_version"": ""unknown"", ""bot_run_id"": ""20251226-010945-5de626"", ""message"": ""Cancel failed"", ""event_type"": ""BATCH_CANCEL_FAILED"", ""decision_id"": ""20251226-010945-5de626:BATCH_CANCEL:741"", ""market"": ""KXWCCREG-26-GONZ"", ""order_id"": ""c4cd0302-2060-4393-9e62-6726e3fc327a"", ""error_msg"": ""not found"", ""batch_number"": 1, ""logger"": ""__main__""}"
2025-12-26 08:46:25.426,"{""ts"": ""2025-12-26T08:46:25.308434+00:00"", ""level"": ""WARNING"", ""service"": ""dora-bot"", ""env"": ""prod"", ""bot_version"": ""unknown"", ""bot_run_id"": ""20251226-010945-5de626"", ""message"": ""Cancel failed"", ""event_type"": ""BATCH_CANCEL_FAILED"", ""decision_id"": ""20251226-010945-5de626:BATCH_CANCEL:741"", ""market"": ""KXNEXTCOACHOUTNFL-26-2-LV"", ""order_id"": ""0b8fb14f-7a57-4268-a132-5c4954341d1e"", ""error_msg"": ""not found"", ""batch_number"": 1, ""logger"": ""__main__""}"
2025-12-26 08:46:25.426,"{""ts"": ""2025-12-26T08:46:25.308462+00:00"", ""level"": ""WARNING"", ""service"": ""dora-bot"", ""env"": ""prod"", ""bot_version"": ""unknown"", ""bot_run_id"": ""20251226-010945-5de626"", ""message"": ""Cancel failed"", ""event_type"": ""BATCH_CANCEL_FAILED"", ""decision_id"": ""20251226-010945-5de626:BATCH_CANCEL:741"", ""market"": ""KXIPO-26-RIPPLE"", ""order_id"": ""f794d5ad-4aec-4add-83d0-2b55a00b4226"", ""error_msg"": ""not found"", ""batch_number"": 1, ""logger"": ""__main__""}"
2025-12-26 08:46:25.426,"{""ts"": ""2025-12-26T08:46:25.308490+00:00"", ""level"": ""WARNING"", ""service"": ""dora-bot"", ""env"": ""prod"", ""bot_version"": ""unknown"", ""bot_run_id"": ""20251226-010945-5de626"", ""message"": ""Cancel failed"", ""event_type"": ""BATCH_CANCEL_FAILED"", ""decision_id"": ""20251226-010945-5de626:BATCH_CANCEL:741"", ""market"": ""KXIPO-26-RIPPLE"", ""order_id"": ""fa56094a-9d5e-4542-8e96-8c5f972ff636"", ""error_msg"": ""not found"", ""batch_number"": 1, ""logger"": ""__main__""}"
2025-12-26 08:46:21.416,"{""ts"": ""2025-12-26T08:46:20.950347+00:00"", ""level"": ""WARNING"", ""service"": ""dora-bot"", ""env"": ""prod"", ""bot_version"": ""unknown"", ""bot_run_id"": ""20251226-010945-5de626"", ""message"": ""Order state drift detected"", ""event_type"": ""LOG"", ""loop_count"": 741, ""stale_local_orders"": 4, ""untracked_exchange_orders"": 5, ""logger"": ""__main__""}"
2025-12-26 08:46:21.165,"{""ts"": ""2025-12-26T08:46:20.949616+00:00"", ""level"": ""WARNING"", ""service"": ""dora-bot"", ""env"": ""prod"", ""bot_version"": ""unknown"", ""bot_run_id"": ""20251226-010945-5de626"", ""message"": ""Order in local state but not on exchange (stale)"", ""event_type"": ""LOG"", ""market"": ""KXIPO-26-RIPPLE"", ""order_id"": ""d0021328-0313-4719-8cae-6f282bbf3a74"", ""side"": ""yes"", ""price"": 0.33, ""size"": 10, ""logger"": ""dora_bot.state_manager""}"
2025-12-26 08:46:21.165,"{""ts"": ""2025-12-26T08:46:20.949663+00:00"", ""level"": ""WARNING"", ""service"": ""dora-bot"", ""env"": ""prod"", ""bot_version"": ""unknown"", ""bot_run_id"": ""20251226-010945-5de626"", ""message"": ""Order in local state but not on exchange (stale)"", ""event_type"": ""LOG"", ""market"": ""KXNEXTCOACHOUTNFL-26-2-LV"", ""order_id"": ""93f5d4d1-ac84-4568-a9d1-0fcaa47e3ee1"", ""side"": ""yes"", ""price"": 0.26, ""size"": 10, ""logger"": ""dora_bot.state_manager""}"
