Event Time,Message,Log group,Log stream
2025-12-25T17:16:10.842-05:00,"{""ts"": ""2025-12-25T22:16:10.779083+00:00"", ""level"": ""INFO"", ""service"": ""dora-bot"", ""env"": ""prod"", ""bot_version"": ""unknown"", ""bot_run_id"": ""20251225-221352-92e33a"", ""message"": ""Order placed"", ""event_type"": ""ORDER_PLACED"", ""decision_id"": ""20251225-221352-92e33a:BATCH_PLACE:2"", ""market"": ""KXIPO-26-DATABRICKS"", ""order_id"": ""ee6919a2-8920-4280-99ec-ccf0a38f5e84"", ""side"": ""yes"", ""price"": 0.53, ""size"": 0, ""client_order_id"": ""d2dc2bc3ca59a9a2"", ""batch_number"": 1, ""logger"": ""__main__""}",561369487018:/dora-bot/prod/app,i-094cc882e8e2c011d/dora-bot
2025-12-25T17:16:10.842-05:00,"{""ts"": ""2025-12-25T22:16:10.779128+00:00"", ""level"": ""INFO"", ""service"": ""dora-bot"", ""env"": ""prod"", ""bot_version"": ""unknown"", ""bot_run_id"": ""20251225-221352-92e33a"", ""message"": ""Order placed"", ""event_type"": ""ORDER_PLACED"", ""decision_id"": ""20251225-221352-92e33a:BATCH_PLACE:2"", ""market"": ""KXIPO-26-DATABRICKS"", ""order_id"": ""99d5bf3c-ef72-450e-b8db-9cf27b86272e"", ""side"": ""no"", ""price"": 0.57, ""size"": 0, ""client_order_id"": ""2d74ab173a654319"", ""batch_number"": 1, ""logger"": ""__main__""}",561369487018:/dora-bot/prod/app,i-094cc882e8e2c011d/dora-bot
2025-12-25T17:16:10.842-05:00,"{""ts"": ""2025-12-25T22:16:10.779161+00:00"", ""level"": ""INFO"", ""service"": ""dora-bot"", ""env"": ""prod"", ""bot_version"": ""unknown"", ""bot_run_id"": ""20251225-221352-92e33a"", ""message"": ""Order placed"", ""event_type"": ""ORDER_PLACED"", ""decision_id"": ""20251225-221352-92e33a:BATCH_PLACE:2"", ""market"": ""KXSBGUESTS-26-TS"", ""order_id"": ""f23067ab-f31a-4847-95a2-f0cc87733d71"", ""side"": ""yes"", ""price"": 0.16, ""size"": 0, ""client_order_id"": ""72c3559ecf68b491"", ""batch_number"": 1, ""logger"": ""__main__""}",561369487018:/dora-bot/prod/app,i-094cc882e8e2c011d/dora-bot
2025-12-25T17:16:10.842-05:00,"{""ts"": ""2025-12-25T22:16:10.779191+00:00"", ""level"": ""INFO"", ""service"": ""dora-bot"", ""env"": ""prod"", ""bot_version"": ""unknown"", ""bot_run_id"": ""20251225-221352-92e33a"", ""message"": ""Order placed"", ""event_type"": ""ORDER_PLACED"", ""decision_id"": ""20251225-221352-92e33a:BATCH_PLACE:2"", ""market"": ""KXSBGUESTS-26-TS"", ""order_id"": ""e23594a6-1d2e-4989-aee2-7f982c9af5bd"", ""side"": ""no"", ""price"": 0.42, ""size"": 0, ""client_order_id"": ""9f128da2ef9d799e"", ""batch_number"": 1, ""logger"": ""__main__""}",561369487018:/dora-bot/prod/app,i-094cc882e8e2c011d/dora-bot
2025-12-25T17:16:10.842-05:00,"{""ts"": ""2025-12-25T22:16:10.779219+00:00"", ""level"": ""INFO"", ""service"": ""dora-bot"", ""env"": ""prod"", ""bot_version"": ""unknown"", ""bot_run_id"": ""20251225-221352-92e33a"", ""message"": ""Order placed"", ""event_type"": ""ORDER_PLACED"", ""decision_id"": ""20251225-221352-92e33a:BATCH_PLACE:2"", ""market"": ""KXPGAMAJORWIN-26-SSCH"", ""order_id"": ""c7b6580c-6c80-43ce-838b-dd19dae65179"", ""side"": ""yes"", ""price"": 0.53, ""size"": 0, ""client_order_id"": ""dc9305841ed78776"", ""batch_number"": 1, ""logger"": ""__main__""}",561369487018:/dora-bot/prod/app,i-094cc882e8e2c011d/dora-bot
2025-12-25T17:16:10.842-05:00,"{""ts"": ""2025-12-25T22:16:10.779254+00:00"", ""level"": ""INFO"", ""service"": ""dora-bot"", ""env"": ""prod"", ""bot_version"": ""unknown"", ""bot_run_id"": ""20251225-221352-92e33a"", ""message"": ""Order placed"", ""event_type"": ""ORDER_PLACED"", ""decision_id"": ""20251225-221352-92e33a:BATCH_PLACE:2"", ""market"": ""KXPGAMAJORWIN-26-SSCH"", ""order_id"": ""042a44ca-ff1e-4c34-997a-4d4774b17d8c"", ""side"": ""no"", ""price"": 0.57, ""size"": 0, ""client_order_id"": ""699768e09b6a5688"", ""batch_number"": 1, ""logger"": ""__main__""}",561369487018:/dora-bot/prod/app,i-094cc882e8e2c011d/dora-bot
2025-12-25T17:16:10.842-05:00,"{""ts"": ""2025-12-25T22:16:10.779283+00:00"", ""level"": ""INFO"", ""service"": ""dora-bot"", ""env"": ""prod"", ""bot_version"": ""unknown"", ""bot_run_id"": ""20251225-221352-92e33a"", ""message"": ""Order placed"", ""event_type"": ""ORDER_PLACED"", ""decision_id"": ""20251225-221352-92e33a:BATCH_PLACE:2"", ""market"": ""KXWCCREG-26-GONZ"", ""order_id"": ""7d7989dc-8b55-40e3-9b97-ca2a4cdf02f7"", ""side"": ""yes"", ""price"": 0.5, ""size"": 0, ""client_order_id"": ""ca914c376c3c0fc3"", ""batch_number"": 1, ""logger"": ""__main__""}",561369487018:/dora-bot/prod/app,i-094cc882e8e2c011d/dora-bot
2025-12-25T17:16:10.842-05:00,"{""ts"": ""2025-12-25T22:16:10.779314+00:00"", ""level"": ""INFO"", ""service"": ""dora-bot"", ""env"": ""prod"", ""bot_version"": ""unknown"", ""bot_run_id"": ""20251225-221352-92e33a"", ""message"": ""Batch place complete"", ""event_type"": ""BATCH_PLACE_SUMMARY"", ""decision_id"": ""20251225-221352-92e33a:BATCH_PLACE:2"", ""total_succeeded"": 7, ""total_failed"": 0, ""total_requested"": 7, ""logger"": ""__main__""}",561369487018:/dora-bot/prod/app,i-094cc882e8e2c011d/dora-bot
2025-12-25T17:16:14.930-05:00,"{""ts"": ""2025-12-25T22:16:10.779366+00:00"", ""level"": ""WARNING"", ""service"": ""dora-bot"", ""env"": ""prod"", ""bot_version"": ""unknown"", ""bot_run_id"": ""20251225-221352-92e33a"", ""message"": ""Loop exceeded target duration"", ""event_type"": ""LOG"", ""loop_duration_ms"": 32906.60500526428, ""target_ms"": 10000.0, ""logger"": ""__main__""}",561369487018:/dora-bot/prod/app,i-094cc882e8e2c011d/dora-bot
2025-12-25T17:16:39.410-05:00,"{""ts"": ""2025-12-25T22:16:39.234374+00:00"", ""level"": ""INFO"", ""service"": ""dora-bot"", ""env"": ""prod"", ""bot_version"": ""unknown"", ""bot_run_id"": ""20251225-221352-92e33a"", ""message"": ""Fetched all open orders for None"", ""event_type"": ""FLAG"", ""open_orders_count"": 48, ""logger"": ""dora_bot.exchange_client""}",561369487018:/dora-bot/prod/app,i-094cc882e8e2c011d/dora-bot
